item,V1,V2,V3,V4,V5,Title,Artist,Style,Genre,Media,piclink,imglink,ID
23,3.663601355298914,-0.9347699360979063,-5.902371090184184,2.928396078628343,2.8491115566495355,Cain,Lovis Corinth,Expressionism,Religious painting,"oil, canvas",https://www.wikiart.org/en/lovis-corinth/cain-1917,https://uploads8.wikiart.org/images/lovis-corinth/cain-1917.jpg,23
24,-1.3242824206310975,0.47030943342317755,-4.522441899517816,-4.335872384087829,-1.017457667490132,Masks Mocking Death,James Ensor,Expressionism,symbolic painting,"oil, canvas",https://www.wikiart.org/en/james-ensor/masks-mocking-death-1888,https://uploads8.wikiart.org/images/james-ensor/masks-mocking-death-1888.jpg,24
25,5.359082873145511,1.5914092217157976,2.8225280480350867,1.3792151964480401,0.3694986359791102,The Artist's Wife Sitting at a Window in a Sunlit Room,Carl Holsoe,Expressionism,interior,"oil, canvas",https://www.wikiart.org/en/carl-holsoe/the-artists-wife-sitting-at-a-window-in-a-sunlit-room-1900,https://uploads3.wikiart.org/00116/images/carl-holsoe/carl-vilhelm-hols-e-www-kaifineart-com-4-4.jpg!Blog.jpg,25
26,1.4720645828212702,2.8082180997607016,-2.2298441080627045,3.387933461119553,-1.4669512652385803,Despair,Edvard Munch,Expressionism,genre painting,"oil, canvas",https://www.wikiart.org/en/edvard-munch/despair-1892,https://uploads8.wikiart.org/images/edvard-munch/despair-1892.jpg,26
27,0.04197401231169265,2.4097529831117117,-0.8881852919167464,-0.27302305342496774,-1.178264720532583,The golden sail,Wassily Kandinsky,Expressionism,marina,woodcut,https://www.wikiart.org/en/wassily-kandinsky/the-golden-sail-1903,https://uploads8.wikiart.org/images/wassily-kandinsky/the-golden-sail-1903.jpg,27
28,1.4651114064141457,-3.671847745555045,-2.8562104874975325,2.792220899788616,5.779841013603785,The Carmagnole (Dance Around the Guillotine),Kathe Kollwitz,Expressionism,genre painting,"etching and aquatint, paper",https://www.wikiart.org/en/kathe-kollwitz/not_detected_235968,https://uploads8.wikiart.org/images/kathe-kollwitz/not_detected_235968.jpg,28
29,0.6654884493877977,6.732282572078946,0.3505817166842877,-1.9197667381735384,-3.1250785580645886,Forest Path,Emil Nolde,Expressionism,landscape,"oil, canvas",https://www.wikiart.org/en/emil-nolde/lesnaya-doroga-1909,https://uploads2.wikiart.org/00192/images/emil-nolde/5b4816d6edc2c90a545a2384.jpg!Large.jpg,29
3,5.1880701674105625,-3.8228151712272855,2.8380683907751356,1.1228656958792047,-1.420693988329399,The Siege and Relief of Gibraltar,John Singleton Copley,Romanticism,battle painting,"oil, canvas",https://www.wikiart.org/en/john-singleton-copley/the-siege-and-relief-of-gibraltar-1783,https://uploads8.wikiart.org/images/john-singleton-copley/the-siege-and-relief-of-gibraltar-1783.jpg,3
30,-0.6899891458917427,1.1759423290319377,-1.6576421992179724,1.8414623498595706,4.900987974303536,Winter auf der Oschwand,Cuno Amiet,Expressionism,landscape,"oil, canvas",https://www.wikiart.org/en/cuno-amiet/winter-auf-der-oschwand-1908,https://uploads8.wikiart.org/images/cuno-amiet/winter-auf-der-oschwand-1908.jpg,30
31,-0.6654869889251483,3.1037615401823313,-4.688681086448433,-2.1646784753181842,0.11232054738445797,Plaster head and arm,Pablo Picasso,Surrealism,still life,"oil, canvas",https://www.wikiart.org/en/pablo-picasso/plaster-head-and-arm-1925,https://uploads8.wikiart.org/images/pablo-picasso/plaster-head-and-arm-1925.jpg,31
32,-1.1490236447001352,-1.5250472423042787,0.803210282438273,1.0646805768756646,-7.017333475664926,Fairy Pipe,Pierre Roy,Surrealism,symbolic painting,"oil, canvas",https://www.wikiart.org/en/pierre-roy/fairy-pipe-1928,https://uploads8.wikiart.org/images/pierre-roy/fairy-pipe-1928.jpg,32
33,-0.6968558452970235,1.7590212352336574,-1.620301780881005,-1.6042517214658574,2.4271544649131376,Aroundfish,Paul Klee,Surrealism,still life,"oil, canvas",https://www.wikiart.org/en/paul-klee/aroundfish-1926,https://uploads7.wikiart.org/images/paul-klee/aroundfish-1926(1).jpg,33
34,-1.9555162663819945,1.0813463565481298,-2.2465338357270896,-1.3336616934219812,5.92091820146741,14-Nov-37,Grace Palithorpe,Surrealism,figurative,"oil, canvas",https://www.wikiart.org/en/grace-pailthorpe/november-14-1937-1937,https://uploads4.wikiart.org/00280/images/grace-pailthorpe/november-14-1937-1937.jpg!Large.jpg,34
35,3.6545872300929987,0.03845320326688755,-4.2168498719396545,2.5960065267813004,-2.9518584210053884,Portrait De Paul Eluard,Valentine Hugo,Surrealism,"symbolic painting, portrait",pastel on paper,https://www.wikiart.org/en/valentine-hugo/portrait-de-paul-eluard-1932,https://uploads0.wikiart.org/00281/images/valentine-hugo/portrait-de-paul-eluard-1932.jpg!Large.jpg,35
36,-1.5280467635943946,1.9737877468724458,0.7510633926315908,0.02163316264903179,0.46153669781705314,Event on the Downs,Paul Nash,Surrealism,landscape,"oil, canvas",https://www.wikiart.org/en/paul-nash/event-on-the-downs-1934,https://uploads4.wikiart.org/00269/images/paul-nash/event-on-the-downs-1.jpg!HalfHD.jpg,36
37,-3.8483035422321663,0.7660601577767726,-1.1941273200515172,2.2279183226627666,1.2237504207440866,King and Queen,Marcel Duchamp,Surrealism,figurative,"etching and aquatint, paper",https://www.wikiart.org/en/marcel-duchamp/king-and-queen-1968,https://uploads8.wikiart.org/images/marcel-duchamp/king-and-queen-1968.jpg,37
38,-1.949822698306035,4.278169659749628,-2.0343828702486775,-0.48431346458960584,0.7597832258823977,Juzgue,Xul Solar,Surrealism,figurative,"oil, canvas",https://www.wikiart.org/en/xul-solar/juzgue-1923,https://uploads8.wikiart.org/images/xul-solar/juzgue-1923.jpg,38
39,0.9246835349170576,-1.5622739842156097,1.098288690015293,1.2775646720200777,-3.96875035316287,Faithful Servants (Marine),Edward Wadswortth,Surrealism,marina,"tempera, board",https://www.wikiart.org/en/edward-wadsworth/faithful-servants-marine-1928,https://uploads1.wikiart.org/images/edward-wadsworth/faithful-servants-marine-1928(1).jpg!Blog.jpg,39
4,1.9214075868934906,-1.8610175195991945,0.021320861981880213,3.0822071061065333,-2.4041492549501777,Hagen and the Nymphs of the Danube,Henry Fuseli,Romanticism,Mythological painting,"drawing, pen, ink",https://www.wikiart.org/en/henry-fuseli/hagen-and-the-nymphs-of-the-danube-1802,https://uploads8.wikiart.org/00420/images/henry-fuseli/hagen-and-the-nymphs-of-the-danube-the-metropolitan-museum-of-art.jpg!HD.jpg,4
40,1.7631212546658086,6.176318688529577,-0.5438824516489696,-1.2350819534605448,-2.426873484756519,Jazz,Man Ray,Surrealism,abstract,"oil, canvas",https://www.wikiart.org/en/man-ray/jazz,https://uploads8.wikiart.org/images/man-ray/jazz.jpg,40
41,6.139983890974226,-0.4511257745470435,1.4596944214448124,0.5357272221765179,-0.8791082317279191,Fantastic mountain landscape,Paul Bril,Baroque,landscape,"oil, canvas",https://www.wikiart.org/en/paul-bril/fantastic-mountain-landscape-1598,https://uploads8.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg,41
42,3.878137142176016,-3.7167333097583657,-0.7001908074764756,-1.227604320646295,1.2284360111988173,Distribution of Herring and White Bread During the Siege of Leiden 1574,Otto van Veen,Baroque,history painting,"oil, canvas",https://www.wikiart.org/en/otto-van-veen/distribution-of-herring-and-white-bread-during-the-siege-of-leiden-1574,https://uploads0.wikiart.org/00115/images/otto-van-veen/distribution-of-herring-and-white-bread-during-the-siege-of-leiden-1574.jpg!HalfHD.jpg,42
43,-0.05443744355075957,-8.953875054114256,-0.7275386409959469,1.5792982242358409,0.5834772333765919,The Butcher`s Shop,Annibale Carracci,Baroque,genre painting,"oil, canvas",https://www.wikiart.org/en/annibale-carracci/the-butcher-s-shop,https://uploads8.wikiart.org/images/annibale-carracci/the-butcher-s-shop.jpg,43
44,6.490636636148932,-0.14745648443375997,1.8701718429734526,2.821686792441004,-1.779097729151934,"The explosion of the Spanish flagship during the Battle of Gibraltar, 25 April 1607",Hendrick Cornelisz Vroom,Baroque,battle painting,"oil, canvas",https://www.wikiart.org/en/hendrick-cornelisz-vroom/the-explosion-of-the-spanish-flagship-during-the-battle-of-gibraltar-25-april-1607-attributed,https://uploads8.wikiart.org/images/hendrick-cornelisz-vroom/the-explosion-of-the-spanish-flagship-during-the-battle-of-gibraltar-25-april-1607-attributed.jpg,44
45,3.561899764501118,-3.3649070823563925,0.6788939487895808,-1.4493384085987497,1.065897270420283,The Adoration of the Magi,Adam van Noort,Baroque,Religious painting,"oil, canvas",https://www.wikiart.org/en/adam-van-noort/the-adoration-of-the-magi,https://uploads6.wikiart.org/00366/images/adam-van-noort/screenshot-2021-11-08-145114.png,45
46,2.479972489346975,-2.30518308187178,0.03839321673220058,2.697416223979867,3.224309381377748,De droom van Sint-Jozef,Francisco Pacheco,Baroque,Religious painting,"oil, canvas",https://www.wikiart.org/en/francisco-pacheco/de-droom-van-sint-jozef,https://uploads8.wikiart.org/images/francisco-pacheco/de-droom-van-sint-jozef.jpg,46
47,3.80387924801759,-1.3925574542305348,0.12566943590273874,-1.0927426094615948,0.11369012001281681,Allegory of Sight and Smell,Jan Brueghel the Elder,Baroque,allegorical painting,"oil, canvas",https://www.wikiart.org/en/jan-brueghel-the-elder/allegory-of-sight-and-smell-1620,https://uploads2.wikiart.org/00287/images/jan-brueghel-the-elder/allegory-of-sight-and-smell-1620.jpg!Blog.jpg,47
48,4.945308920280462,-1.164885602361433,1.6052868597751238,-2.7367876391562986,-1.2576323552639668,Cardsharps,Caravaggio,Baroque,genre painting,"oil, canvas",https://www.wikiart.org/en/caravaggio/cardsharps-1594-1,https://uploads8.wikiart.org/images/caravaggio/cardsharps-1594-1.jpg,48
49,5.037092026409007,-4.147349970136099,0.51935577517182,0.677869684203971,0.907164308104701,Peace Driving War Away,Giulio Cesare Procaccini,Baroque,allegorical painting,"oil, canvas",https://www.wikiart.org/en/giulio-cesare-procaccini/peace-driving-war-away-1620,https://uploads3.wikiart.org/00316/images/giulio-cesare-procaccini/giulio-cesare-procaccini-la-pace-scaccia-la-guerra-1620-ca.JPG!HD.JPG,49
5,5.34384062279654,-2.327509058746397,0.6211223515810163,4.5764082353215825,0.1641475492353862,The Adoration of the Name of The Lord,Francisco Goya,Romanticism,Religious painting,fresco,https://www.wikiart.org/en/francisco-goya/the-adoration-of-the-name-of-the-lord-1772,https://uploads8.wikiart.org/images/francisco-goya/the-adoration-of-the-name-of-the-lord-1772.jpg,5
50,3.973027033748792,-2.864655330730788,0.5194950750955121,-1.7717997761421331,-0.15367822086688687,Equestrian Portrait of the Duke of Lerma,Peter Paul Rubens,Baroque,portrait,"oil, canvas",https://www.wikiart.org/en/peter-paul-rubens/equestrian-portrait-of-the-duke-of-lerma-1603,https://uploads8.wikiart.org/images/peter-paul-rubens/equestrian-portrait-of-the-duke-of-lerma-1603.jpg,50
51,4.30013423765233,-0.005106992435887733,0.750503278848518,-1.9299962639108175,-1.6686619149705253,Sleeping Herd-Boy,Alexey Venetsianov,Realism,genre painting,"oil, wood",https://www.wikiart.org/en/alexey-venetsianov/sleeping-herd-boy,https://uploads8.wikiart.org/images/alexey-venetsianov/sleeping-herd-boy.jpg,51
52,5.865505995487253,-0.9997759501703242,1.613627827220771,4.307512642071149,2.7881938767478083,Venice Gondola on Grand Canal,Camille Corot,Realism,cityscape,"oil, canvas",https://www.wikiart.org/en/camille-corot/venice-gondola-on-grand-canal,https://uploads8.wikiart.org/images/camille-corot/venice-gondola-on-grand-canal.jpg,52
53,5.9489523468658625,-0.1155559082949175,2.4759842670859675,0.9438058148242852,0.5333022209270686,The Arch of the General Headquarters Building,Vasily Sadovnikov,Realism,cityscape,watercolor,https://www.wikiart.org/en/vasily-sadovnikov/the-arch-of-the-general-headquarters-building,https://uploads8.wikiart.org/images/vasily-sadovnikov/the-arch-of-the-general-headquarters-building.jpg,53
54,6.5007263449367745,-1.4071869736760945,1.6650046287110871,1.262629106982702,2.1432861466098134,The Parthenon,Ippolito,Realism,cityscape,"oil, canvas",https://www.wikiart.org/en/ippolito-caffi/the-parthenon-1863,https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg,54
55,6.104026363324984,2.807850937233784,2.0384007284571792,2.8086129331499965,1.899427648321719,The Windmill,Jules Dupre,Realism,"landscape, cloudscape","oil, canvas",https://www.wikiart.org/en/jules-dupre/the-windmill-1859,https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg,55
56,3.6213611226921816,-1.0344267615574407,1.2591284586499194,-0.6394419498090975,1.1944874430267098,Market in Normandy,Theodore Rousseau,Realism,landscape,"oil, canvas",https://www.wikiart.org/en/theodore-rousseau/market-in-the-normandy,https://uploads8.wikiart.org/images/theodore-rousseau/market-in-the-normandy.jpg,56
