"Title","Artist","Style","Genre","Media","Link to Picture","link to image","Artwork_ID","...9","...10","...11","...12","participant_1","participant_83","participant_94","participant_95","participant_66","participant_49","participant_32","participant_98","participant_15","participant_80","participant_63","participant_96","participant_46","participant_29","participant_12","participant_89","participant_84","participant_77","participant_60","participant_43","participant_93","participant_26","participant_9","participant_74","participant_91","participant_57","participant_40","participant_23","participant_100","participant_78","participant_6","participant_71","participant_54","participant_87","participant_37","participant_20","participant_3","participant_85","participant_68","participant_51","participant_34","participant_45","participant_7","participant_90","participant_17","participant_82","participant_65","participant_16","participant_48","participant_31","participant_14","participant_86","participant_79","participant_62","participant_56","participant_18","participant_27","participant_28","participant_11","participant_76","participant_47","participant_59","participant_42","participant_25","participant_5","participant_8","participant_73","participant_67","participant_36","participant_38","participant_39","participant_22","participant_13","participant_58","participant_70","participant_53","participant_50","participant_33","participant_19","participant_2","participant_81","participant_64","participant_69","participant_99","participant_30","participant_24","participant_44","participant_97","participant_88","participant_61","participant_75","participant_55","participant_92","participant_10","participant_35","participant_4","participant_41","participant_72","participant_21","participant_52"
"Circle Composition","Henryk Berlewi","Op Art","abstract","ink","https://www.wikiart.org/en/henryk-berlewi/circle-composition","https://uploads8.wikiart.org/images/henryk-berlewi/circle-composition.jpg",151,NA,NA,NA,NA,NA,NA,70,NA,NA,61,14,NA,18,0,NA,NA,41,NA,NA,NA,NA,73,NA,NA,NA,81,65,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,73,5,68,2,41,NA,19,51,NA,10,NA,32,NA,NA,74,0,NA,NA,NA,NA,NA,57,NA,0,NA,NA,NA,7,19,NA,NA,15,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,57,NA,19,NA,100,29,67,NA,NA
"Hand with Fir Cone","M.C. Escher","Op Art","illustration","ink","https://www.wikiart.org/en/m-c-escher/not_detected_204652","https://uploads8.wikiart.org/images/m-c-escher/not_detected_204652.jpg",152,NA,NA,NA,NA,NA,NA,51,NA,46,NA,NA,51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,37,43,NA,13,NA,4,26,100,NA,NA,32,44,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,20,51,NA,NA,82,NA,38,63,67,43,51,NA,NA,NA,NA,12,NA,NA,NA,NA,28,NA,51,NA,49,NA,NA,39,NA,NA,NA,NA,NA,78,NA,NA,61,69,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,50
"Studie 406","Hans Hinterreiter","Op Art","tessellation","oil, canvas","https://www.wikiart.org/en/hans-hinterreiter/studie-406-1937","https://uploads8.wikiart.org/images/hans-hinterreiter/studie-406-1937.jpg",153,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,24,NA,5,NA,15,50,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,45,NA,NA,11,90,NA,40,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,53,12,NA,NA,13,NA,20,50,NA,50,51,NA,NA,NA,36,NA,NA,29,NA,NA,NA,58,NA,NA,NA,NA,NA,36,85,NA,NA,52,NA,100,5,5,NA,NA
"The Chess Board","Victor Vasarely","Op Art","still life","oil, board","https://www.wikiart.org/en/victor-vasarely/the-chess-board-1935","https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg",154,NA,NA,NA,NA,NA,11,61,66,NA,NA,33,NA,NA,NA,40,NA,NA,NA,25,NA,NA,NA,57,NA,NA,46,NA,27,23,100,53,NA,62,NA,NA,NA,NA,58,25,NA,NA,78,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,76,NA,NA,79,NA,58,45,NA,42,6,NA,NA,NA,0,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,56,NA,39,NA,NA,NA,NA,73,NA,50,NA
"Untitled Lothar Charoux","Lothar Charoux","Op Art","abstract","oil, canvas","https://www.wikiart.org/en/lothar-charoux/untitled-1980","https://uploads2.wikiart.org/images/lothar-charoux/untitled-1980(1).jpg!Large.jpg",155,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,37,NA,20,NA,NA,NA,NA,NA,72,34,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,51,NA,NA,NA,54,NA,NA,NA,1,NA,NA,NA,56,NA,NA,NA,NA,32,NA,46,NA,NA,NA,71,53,NA,NA,15,100,NA,NA,50,NA,70,NA,76,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA
"Untitled Gego","Gego","Op Art","abstract","pencil, paper","https://www.wikiart.org/en/gego/untitled-1966-3","https://uploads8.wikiart.org/images/gego/untitled-1966-3.jpg",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,73,73,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,59,9,21,53,33,55,NA,67,28,NA,50,NA,52,NA,NA,NA,5,NA,NA,0,NA,NA,9,NA,33,4,NA,54,NA,NA,NA,NA,0,NA,17,NA,NA,NA,NA,50,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,70,NA,37,NA,NA,14,2,43,NA,NA,NA,0,9,NA,NA
"Tensioni formali da instabilità luminosa","Mario Ballocco","Op Art","abstract","oil, canvas","https://www.wikiart.org/en/mario-ballocco/tensioni-formali-da-instabilit-luminosa-1967","https://uploads8.wikiart.org/images/mario-ballocco/tensioni-formali-da-instabilit-luminosa-1967.jpg",157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,59,NA,NA,NA,73,NA,NA,37,NA,NA,61,45,51,NA,NA,NA,27,NA,100,NA,0,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,21,NA,NA,1,75,NA,NA,NA,NA,NA,82,25,8,NA,32,NA,NA,NA,74,49,NA,NA,NA,NA,66,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"Atmosphère chromoplastique N° 120","Luis Tomasello","Op Art","sculpture","wood","https://www.wikiart.org/en/luis-tomasello/atmosph-re-chromoplastique-n-120-1964","https://uploads8.wikiart.org/images/luis-tomasello/atmosph-re-chromoplastique-n-120-1964.jpg",158,NA,NA,NA,NA,62,NA,NA,NA,NA,2,NA,31,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,71,NA,57,NA,NA,35,NA,55,NA,NA,84,NA,NA,NA,NA,NA,NA,1,39,NA,34,56,41,NA,48,22,18,35,NA,5,18,9,52,NA,NA,41,NA,NA,NA,NA,0,23,NA,70,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,11,77,NA,NA,NA,45,100,NA,NA,18,NA
"Spazio totale","Mario Nigro","Op Art","abstract","oil, canvas","https://www.wikiart.org/en/mario-nigro/spazio-totale-1953","https://uploads8.wikiart.org/images/mario-nigro/spazio-totale-1953.jpg",159,NA,NA,NA,NA,63,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,79,NA,94,NA,78,0,NA,NA,NA,NA,67,NA,NA,40,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,75,NA,63,0,76,NA,NA,5,NA,NA,NA,NA,41,NA,41,28,NA,NA,1,NA,NA,NA,NA,18,55,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,29,NA,NA,NA,NA,57,NA,NA,NA,12,78,13,NA,31,NA,25,NA,NA,65,12,NA,51
"Atom Cloud","Edna Andrade","Op Art","abstract","oil, canvas","https://www.wikiart.org/en/edna-andrade/atom-cloud-1958","https://uploads8.wikiart.org/images/edna-andrade/atom-cloud-1958.jpg",160,NA,NA,NA,NA,NA,8,NA,NA,59,NA,32,NA,26,50,52,76,57,NA,NA,NA,NA,NA,NA,NA,NA,19,16,NA,NA,NA,NA,84,49,NA,NA,NA,37,63,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,6,NA,53,59,NA,NA,NA,NA,NA,66,21,NA,14,NA,73,40,77,NA,50,NA,NA,NA,NA,NA,66,87,60,95,62,51,54,NA,NA,59,NA,NA,NA,60,NA,NA,38,100,NA,NA,35,85
