"Title","Artist","Style","Genre","Media","Link to Picture","link to image","Artwork_ID","...9","...10","...11","...12","participant_1","participant_83","participant_94","participant_95","participant_66","participant_49","participant_32","participant_98","participant_15","participant_80","participant_63","participant_96","participant_46","participant_29","participant_12","participant_89","participant_84","participant_77","participant_60","participant_43","participant_93","participant_26","participant_9","participant_74","participant_91","participant_57","participant_40","participant_23","participant_100","participant_78","participant_6","participant_71","participant_54","participant_87","participant_37","participant_20","participant_3","participant_85","participant_68","participant_51","participant_34","participant_45","participant_7","participant_90","participant_17","participant_82","participant_65","participant_16","participant_48","participant_31","participant_14","participant_86","participant_79","participant_62","participant_56","participant_18","participant_27","participant_28","participant_11","participant_76","participant_47","participant_59","participant_42","participant_25","participant_5","participant_8","participant_73","participant_67","participant_36","participant_38","participant_39","participant_22","participant_13","participant_58","participant_70","participant_53","participant_50","participant_33","participant_19","participant_2","participant_81","participant_64","participant_69","participant_99","participant_30","participant_24","participant_44","participant_97","participant_88","participant_61","participant_75","participant_55","participant_92","participant_10","participant_35","participant_4","participant_41","participant_72","participant_21","participant_52"
"Untitled (Blue Man on Red Object)","Bill Traylor","Outsider art (Art brut)","figurative","pencil, cardboard","https://www.wikiart.org/en/bill-traylor/untitled-blue-man-on-red-object-1939","https://uploads8.wikiart.org/images/bill-traylor/untitled-blue-man-on-red-object-1939.jpg",161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,NA,NA,NA,NA,NA,NA,90,34,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,30,32,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,51,19,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,49,5,NA,NA,1,NA,NA,NA,50,NA,30,NA,NA,40,28,75,NA,NA,NA,NA,NA,NA,85,NA,16,NA,NA,62,31,NA,3,NA,NA,NA,79,62,NA,0,NA,NA,98
"Untitled","Louis Wain","Outsider art (Art brut)","animal painting","oil, canvas","https://www.wikiart.org/en/louis-wain/untitled-5","https://uploads8.wikiart.org/images/louis-wain/untitled-5.jpg",162,NA,NA,NA,NA,NA,NA,NA,97,NA,45,NA,NA,NA,100,67,NA,NA,12,NA,76,NA,NA,NA,84,NA,NA,NA,25,96,NA,59,NA,NA,90,NA,NA,NA,NA,NA,84,78,NA,64,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,69,NA,NA,NA,NA,64,NA,63,75,NA,NA,58,NA,57,NA,NA,NA,50,NA,NA,NA,NA,NA,64
"Irren Anstalt Band Hain","Adolf Wolfli","Outsider art (Art brut)","figurative","oil, canvas","https://www.wikiart.org/en/adolf-wolfli/irren-anstalt-band-hain-1919","https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg",163,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,42,NA,NA,NA,4,70,71,NA,NA,NA,NA,NA,68,NA,73,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,65,46,58,83,70,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,62,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,31,NA,NA,NA,73,NA,48,NA,NA,58,NA,NA,59,NA,NA,NA,NA,NA,NA,32,NA,66,NA,30,NA,55,NA,NA,91,NA,91,NA,NA,11,NA,NA
"Wappen","August Natterer","Outsider art (Art brut)","symbolic painting","oil, canvas","https://www.wikiart.org/en/august-natterer/wappen","https://uploads8.wikiart.org/images/august-natterer/wappen.jpg",164,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,31,5,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,23,NA,82,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,36,NA,NA,49,27,NA,NA,NA,58,NA,NA,NA,33,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,14,3,NA,NA,NA,79,21,51,NA,NA,51,50,NA,61,50,NA,NA,51,NA,NA,NA,49,NA,24,NA,NA,76,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,18,30,NA
"Forêt","Louis Soutter","Outsider art (Art brut)","figurative","oil, canvas","https://www.wikiart.org/en/louis-soutter/for-t-1942","https://uploads8.wikiart.org/images/louis-soutter/for-t-1942.jpg",165,NA,NA,NA,NA,NA,NA,93,15,NA,NA,19,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,75,NA,30,66,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,60,NA,59,NA,NA,19,5,NA,NA,14,NA,NA,68,NA,NA,NA,NA,NA,51,36,NA,0,NA,NA,11,0,NA,NA,NA,NA,16,NA,27,NA,NA,NA,NA,NA,NA,46,NA,58,NA,12,35,NA,79,65,NA,76,NA,82,NA,NA,NA,NA,NA,NA,6,NA,NA
"Cotton Mill","Clementine Hunter","Outsider art (Art brut)","genre painting","oil, canvas","https://www.wikiart.org/en/clementine-hunter/cotton-mill","https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg",166,NA,NA,NA,NA,NA,10,NA,55,NA,0,61,84,2,NA,NA,NA,NA,NA,NA,NA,NA,68,55,NA,NA,0,78,NA,61,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,33,NA,26,NA,4,NA,63,NA,NA,81,9,NA,NA,NA,NA,NA,NA,NA,NA,53,55,NA,NA,NA,NA,NA,NA,25,27,NA,65,74,19,NA,NA,NA,30,83,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,44
"Human Headed Blengins of Calverine Island Catherine Isles","Henry Darger","Outsider art (Art brut)","illustration","oil, canvas","https://www.wikiart.org/en/henry-darger/human-headed-blengins-of-calverine-island-catherine-isles","https://uploads8.wikiart.org/images/henry-darger/human-headed-blengins-of-calverine-island-catherine-isles.jpg",167,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,18,23,NA,NA,NA,NA,61,17,NA,NA,NA,NA,38,68,51,NA,53,76,NA,NA,61,NA,NA,NA,78,NA,NA,NA,63,NA,34,NA,0,NA,NA,32,NA,NA,0,3,NA,NA,13,58,17,NA,NA,44,NA,24,NA,24,NA,NA,NA,NA,65,NA,NA,NA,46,NA,NA,NA,77,NA,83,NA,NA,NA,NA,NA,47,NA,35,NA,NA,NA
"The Mass Demon","Friedrich Schroder-Sonnenstern","Outsider art (Art brut)","figurative","oil, canvas","https://www.wikiart.org/en/friedrich-schroder-sonnenstern/the-mass-demon-1954","https://uploads8.wikiart.org/images/friedrich-schroder-sonnenstern/the-mass-demon-1954.jpg",168,NA,NA,NA,NA,41,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,32,7,NA,NA,91,NA,NA,NA,NA,NA,NA,74,74,NA,NA,NA,NA,NA,12,NA,22,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,34,NA,NA,NA,NA,75,NA,NA,NA,11,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,11,24,NA,NA,NA,9,16
"Atlas Building","William Hawkins","Outsider art (Art brut)","cityscape","oil, canvas","https://www.wikiart.org/en/william-hawkins/atlas-building-1979","https://uploads5.wikiart.org/00237/images/william-hawkins/screen-shot-2019-05-22-at-10-18-35-am.png!Large.png",169,NA,NA,NA,NA,32,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,37,33,NA,NA,92,NA,NA,72,0,100,NA,15,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,51,15,NA,40,NA,NA,NA,NA,NA,NA,NA,29,34,34,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,28,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Subway","Jean Dubuffet","Outsider art (Art brut)","figurative","incised ink","https://www.wikiart.org/en/jean-dubuffet/subway","https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg",170,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,68,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,69,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,66,28,NA,14,NA,NA,NA,53,NA,61,77,NA,NA,NA,52,73,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,33,NA,NA,34,NA,NA,NA,37,NA,NA,30,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,2,40
"Untitled Shozo Shimamoto","Shozo Shimamoto","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/shozo-shimamoto/unknown-title","https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,84,18,96,74,NA,62,NA,NA,NA,53,NA,0,NA,NA,NA,NA,NA,15,44,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,77,NA,45,NA,NA,NA,51,40,NA,NA,53,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,59,NA,NA,71,NA,NA,3,NA,NA
"People","Se-Ok Suh","Art Informel","abstract","ink","https://www.wikiart.org/en/se-ok-suh/people","https://uploads8.wikiart.org/images/se-ok-suh/people.jpg",172,NA,NA,NA,NA,NA,NA,NA,17,55,5,39,35,NA,NA,0,NA,6,NA,NA,36,NA,NA,NA,NA,NA,23,0,23,NA,NA,23,NA,NA,NA,15,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,7,NA,NA,12,NA,NA,8,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,26,10,NA,12,NA,NA,NA,NA,43,10,20,NA,NA,48,NA,NA,NA,58,3,NA,55,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,1,NA,NA,41
"Painting 488","Luis Feito","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/luis-feito/painting-488","https://uploads8.wikiart.org/images/luis-feito/painting-488.jpg",173,NA,NA,NA,NA,NA,NA,60,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,28,0,NA,NA,11,NA,NA,NA,0,33,0,NA,NA,NA,NA,31,NA,NA,NA,NA,15,15,NA,NA,51,NA,NA,25,NA,NA,NA,22,NA,NA,NA,0,0,NA,76,NA,NA,0,NA,NA,23,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,14,44,65,38,30,NA,NA,NA,NA,NA,51,51,0,NA,NA,NA,36
"Untitled Samuel Buri","Samuel Buri","Art Informel","abstract","lithograph","https://www.wikiart.org/en/samuel-buri/untitledd","https://uploads0.wikiart.org/images/samuel-buri/untitled.jpg!Large.jpg",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,16,NA,NA,NA,NA,21,NA,NA,58,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,25,NA,27,15,NA,NA,55,NA,51,33,NA,NA,NA,NA,15,NA,NA,NA,NA,43,11,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,19,2,12,NA,NA,NA,15,31,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,10,10,NA,NA,NA,52,NA,NA,57,33,4,NA,NA,NA,0,0,14,NA,NA
"Dizeres Intimos I","Gil Teixeira Lopes","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/gil-teixeira-lopes/dizeres-intimos-i","https://uploads8.wikiart.org/images/gil-teixeira-lopes/dizeres-intimos-i.jpg",175,NA,NA,NA,NA,20,NA,79,29,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,62,18,NA,0,28,NA,26,0,NA,4,NA,NA,NA,NA,NA,61,NA,73,NA,NA,NA,96,NA,NA,NA,NA,NA,39,39,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,34,58,0,3,27,NA,NA,NA,60,NA,20,NA,NA,NA,45,7,NA,38,24,NA,31,NA,60,27,53,65,38,59,NA,NA,NA,NA,NA,NA,NA,23,NA,100,NA,NA,NA,79
"Bird","Matsutani","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/matsutani/bird","https://uploads6.wikiart.org/images/matsutani/bird(1).jpg!Large.jpg",176,NA,NA,NA,NA,44,NA,NA,NA,NA,60,NA,NA,61,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,NA,65,NA,NA,46,NA,NA,NA,NA,NA,NA,79,69,NA,NA,NA,61,NA,62,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,42,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,57,NA,NA,18,15,NA,51,NA,0,NA,NA,NA,NA
"Ardoise","Andre-Pierre Arnal","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/andre-pierre-arnal/ardoise","https://uploads8.wikiart.org/images/andre-pierre-arnal/ardoise.jpg",177,NA,NA,NA,NA,11,0,NA,NA,1,NA,22,82,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,40,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,67,NA,NA,NA,77,44,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,11,NA,54,51,NA,0,NA,30,NA,NA,NA,NA,NA,NA,NA,44,NA,25,NA,NA,NA,NA,NA,NA,18,38,19,37,NA,NA,NA,NA,NA,NA,NA,86,NA,76,NA,NA,100,NA,19,NA,65
"Småting","Asger Jorn","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/asger-jorn/sm-ting-1940","https://uploads8.wikiart.org/images/asger-jorn/sm-ting-1940.jpg",178,NA,NA,NA,NA,NA,NA,NA,73,25,NA,NA,NA,NA,0,4,NA,NA,NA,59,NA,81,NA,41,NA,NA,NA,NA,NA,NA,79,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,17,93,NA,NA,NA,NA,21,75,NA,NA,NA,NA,51,35,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,34,NA,32,66,NA,NA,67,NA,NA,NA,26,70,NA,NA,NA,NA,NA,NA,74,NA,88,NA,60,16,NA,NA
"Untitled Jean Fautrier","Jean Fautrier","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/jean-fautrier/untitled-1943","https://uploads8.wikiart.org/images/jean-fautrier/untitled-1943.jpg",179,NA,NA,NA,NA,NA,NA,82,7,73,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,85,NA,NA,NA,6,13,NA,NA,56,NA,39,NA,NA,NA,NA,NA,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,73,NA,45,NA,NA,51,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sun Figures","Willi Baumeister","Art Informel","abstract","oil, canvas","https://www.wikiart.org/en/willi-baumeister/sun-figures-1944","https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg",180,NA,NA,NA,NA,39,0,82,NA,64,NA,29,41,60,0,NA,NA,NA,NA,NA,79,NA,NA,NA,100,59,61,NA,NA,23,NA,NA,NA,NA,31,NA,55,NA,NA,NA,NA,NA,86,74,NA,57,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,52,51,NA,1,3,7,NA,NA,46,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,47,67,58,NA,NA,NA,24,NA,75,75,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17,NA,61
"Landscape with a Palace","Eugeniusz Zak","Art Deco","landscape","oil, canvas","https://www.wikiart.org/en/eugeniusz-ak/landscape-with-a-palace-1916","https://uploads8.wikiart.org/images/eugeniusz-ak/landscape-with-a-palace-1916.jpg",181,NA,NA,NA,NA,51,NA,76,NA,67,NA,NA,56,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,76,81,NA,100,56,62,NA,NA,NA,NA,NA,56,NA,59,NA,74,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,68,55,NA,33,60,NA,76,NA,NA,65,NA,44,NA,59,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,59,74,NA,NA,NA,NA,NA,62,60,NA,38,59,81,NA,NA,NA,NA,NA,13,NA
"An Elegant Young Lady with a Fur Hat by Gerda Wegener","Gerda Wegener","Art Deco","portrait","etching","https://www.wikiart.org/en/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918","https://uploads7.wikiart.org/00333/images/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918.jpg!HalfHD.jpg",182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,73,NA,84,63,NA,NA,100,NA,NA,NA,NA,NA,NA,23,NA,NA,77,NA,58,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,80,NA,51,NA,NA,NA,30,NA,NA,81,7,NA,64,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,69,NA,NA,80,76,NA,68,NA,NA,NA,66,NA,NA,NA,72,NA,NA,76,NA,NA,68,NA,NA,80
"La danseuse et les deux pigeons","Jean Dupas","Art Deco","genre painting","oil, canvas","https://www.wikiart.org/en/jean-dupas/la-danseuse-et-les-deux-pigeons-1919","https://uploads8.wikiart.org/images/jean-dupas/la-danseuse-et-les-deux-pigeons-1919.jpg",183,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,48,NA,NA,60,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,84,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,93,NA,74,NA,62,NA,30,NA,NA,NA,64,NA,28,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,56,55,NA,NA,NA,48,66,NA,68,NA,NA,77,NA,86,88,NA,90,NA,NA,51,NA,NA,NA
"Self Portrait","Archibald Motley","Art Deco","portrait","oil, canvas","https://www.wikiart.org/en/archibald-motley/self-portrait-1920","https://uploads0.wikiart.org/00230/images/archibald-motley/self-portrait.jpg!Large.jpg",184,NA,NA,NA,NA,NA,10,NA,72,NA,NA,NA,NA,NA,0,63,NA,NA,26,NA,95,NA,53,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,34,NA,51,45,30,NA,NA,NA,NA,51,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,48,NA,26,NA,100,NA,NA,NA,NA,80,NA,52,45,NA,54,NA,NA,34,NA,NA,70,NA,NA,NA,34,5,NA,NA,NA,NA
"Three Women Under an Umbrella","Gerda Wegener","Art Deco","portrait","oil, canvas","https://www.wikiart.org/en/gerda-wegener/three-women-under-an-umbrella-1920","https://uploads5.wikiart.org/00333/images/gerda-wegener/three-women-under-an-umbrella-c-1920.jpg!Portrait.jpg",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,68,NA,NA,41,80,NA,84,33,NA,NA,NA,33,88,NA,5,NA,88,NA,NA,NA,58,NA,NA,29,NA,82,NA,NA,NA,NA,53,NA,NA,22,NA,30,13,NA,NA,NA,NA,NA,NA,27,52,NA,51,65,NA,NA,NA,NA,NA,NA,8,75,21,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,59,91,NA,51,NA,64,NA,67,95,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Au Bucheron","Cassandre","Art Deco","poster","print","https://www.wikiart.org/en/cassandre/au-bucheron-1923","https://uploads8.wikiart.org/images/cassandre/au-bucheron-1923.jpg",186,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,55,76,43,NA,NA,NA,NA,0,NA,NA,18,NA,NA,NA,NA,NA,NA,70,75,NA,NA,NA,NA,NA,NA,91,NA,NA,31,NA,66,NA,23,69,52,45,NA,53,23,NA,46,NA,53,NA,NA,55,NA,NA,81,17,51,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,64,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Judgement of Paris","Jean Dupas","Art Deco","Mythological painting","oil, canvas","https://www.wikiart.org/en/jean-dupas/the-judgement-of-paris-1923","https://uploads1.wikiart.org/00452/images/jean-dupas/42-medium.jpg!Large.jpg",187,NA,NA,NA,NA,51,6,NA,75,NA,NA,NA,NA,7,NA,37,73,23,NA,86,82,NA,NA,NA,NA,NA,47,NA,NA,41,NA,NA,61,NA,NA,85,56,NA,45,NA,NA,28,NA,NA,NA,NA,NA,62,NA,55,NA,NA,NA,NA,36,NA,NA,23,NA,NA,21,80,NA,NA,54,NA,5,NA,NA,NA,68,68,NA,NA,NA,51,0,52,NA,32,NA,NA,87,63,65,NA,NA,NA,64,NA,73,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,35,33,NA,94
"Bather","Rene Magritte","Art Deco","genre painting","oil, canvas","https://www.wikiart.org/en/rene-magritte/bather-1925","https://uploads8.wikiart.org/images/rene-magritte/bather-1925(1).jpg!Large.jpg",188,NA,NA,NA,NA,NA,0,51,68,16,NA,57,NA,NA,0,0,NA,NA,NA,71,24,92,NA,NA,14,91,NA,NA,NA,20,100,12,NA,NA,NA,15,57,15,NA,NA,NA,20,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,51,NA,NA,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,40,NA,NA,NA,NA,49,NA,32,NA,68,NA,31,NA,NA,NA,NA,NA,NA,29,72,NA,NA,38,62,NA,41,NA,0,NA,NA,38
"Le Nouvelliste","Cassandre","Art Deco","poster","print","https://www.wikiart.org/en/cassandre/le-nouvelliste-1924","https://uploads8.wikiart.org/images/cassandre/le-nouvelliste-1924.jpg",189,NA,NA,NA,NA,NA,20,NA,NA,88,NA,NA,NA,NA,NA,57,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,14,29,NA,NA,NA,46,NA,74,NA,NA,79,50,NA,52,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,58,NA,67,NA,NA,58,NA,NA,55,25,NA,NA,NA,15,NA,63,43,NA,89,35,NA,NA,80,NA,NA,NA,NA,17,NA,NA
"Portrait of Marquis Sommi","Tamara de Lempicka","Art Deco","portrait","oil, canvas","https://www.wikiart.org/en/tamara-de-lempicka/portrait-of-marquis-sommi-1925","https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg",190,NA,NA,NA,NA,51,NA,44,74,NA,59,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,96,NA,10,NA,6,NA,80,NA,35,57,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,36,NA,NA,NA,14,NA,NA,NA,87,NA,NA,56,NA,NA,0,21,NA,NA,60,12,49,60,78,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,36,31,69,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,63
"Untitled Enrico Castellani","Enrico Castellani","Spatialism","abstract","textile","https://www.wikiart.org/en/enrico-castellani/untitled","https://uploads8.wikiart.org/images/enrico-castellani/untitled.jpg",191,NA,NA,NA,NA,67,0,NA,50,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,3,NA,100,NA,NA,NA,NA,22,52,26,NA,NA,NA,26,37,NA,NA,NA,NA,12,NA,2,0,2,NA,0,NA,NA,NA,76,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,50,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,56,NA,NA,0,NA,NA,NA,NA,62,NA,NA,0,28,7,41,NA,NA,100,NA,NA,13,NA
"Verde","Agostino","Spatialism","abstract","textile","https://www.wikiart.org/en/agostino-bonalumi/verde-3000","https://uploads8.wikiart.org/images/agostino-bonalumi/verde-3000.jpg",192,NA,NA,NA,NA,NA,NA,60,NA,23,NA,32,67,NA,0,0,NA,NA,NA,NA,37,79,NA,NA,NA,0,NA,18,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,70,NA,NA,26,NA,50,65,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,56,89,17,65,44,NA,55,0,NA,NA,NA,NA,NA,33,NA,NA,NA,26,NA,NA,NA,NA,NA,51,51,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,11,NA,NA,NA,29,39,NA
"Deposition","Lucio Fontana","Spatialism","abstract","sculpture","https://www.wikiart.org/en/lucio-fontana/deposition","https://uploads8.wikiart.org/images/lucio-fontana/deposition.jpg",193,NA,NA,NA,NA,NA,NA,NA,NA,47,1,NA,NA,NA,NA,NA,51,0,61,NA,73,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,100,NA,NA,36,NA,NA,NA,NA,0,NA,NA,NA,NA,13,24,NA,NA,NA,NA,NA,7,NA,1,0,1,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,25,NA,24,77,NA,43,NA,34,NA,41,NA,NA,NA,60,NA,NA,8,NA,NA,NA,NA,NA,100,3,NA,7,60
"Achrome","Piero Manzoni","Spatialism","abstract","canvas","https://www.wikiart.org/en/piero-manzoni/achrome-1958-1","https://uploads8.wikiart.org/images/piero-manzoni/achrome-1958-1.jpg",194,NA,NA,NA,NA,NA,NA,NA,4,41,NA,NA,18,NA,NA,NA,NA,3,NA,NA,NA,76,73,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,54,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,51,NA,17,35,NA,NA,NA,NA,NA,51,NA,2,NA,2,54,15,11,NA,8,NA,NA,NA,NA,NA,46,NA,45,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,63,NA,NA,NA,28,0,34,30,NA,0,NA,NA,NA,51
