Title,Artist,Style,Genre,Media,Link to Picture,link to image,Artwork_ID,,,,
Egyptian no. 2,Owen Jones,Art Nouveau,design,lithography,https://www.wikiart.org/en/owen-jones/egyptian-no-2,https://uploads8.wikiart.org/images/owen-jones/egyptian-no-2.jpg,71,,,,
"Bagnères de Luchon, Fêtes des Fleurs",Jules Cheret,Art Nouveau,poster,print,https://www.wikiart.org/en/jules-cheret/bagn-res-de-luchon-f-tes-des-fleurs-1890,https://uploads8.wikiart.org/images/jules-cheret/bagn-res-de-luchon-f-tes-des-fleurs-1890.jpg,72,,,,
The Belles of the Ball,Francesc Masriera,Art Nouveau,genre painting,"oil, canvas",https://www.wikiart.org/en/francesc-masriera/the-belles-of-the-ball,https://uploads8.wikiart.org/00284/images/francesc-masriera/masriera-belles.jpg!Large.jpg,73,,,,
The Art of Drawing,Eugene Grasset,Art Nouveau,genre painting,lithography,https://www.wikiart.org/en/eug-ne-grasset/the-art-of-drawing-1894,https://uploads8.wikiart.org/images/eug-ne-grasset/the-art-of-drawing-1894.jpg,74,,,,
Transom,Louis Comfort Tiffany,Art Nouveau,design,stained glass,https://www.wikiart.org/en/louis-comfort-tiffany/transom-1881,https://uploads8.wikiart.org/images/louis-comfort-tiffany/transom-1881.jpg,75,,,,
Afternoon Silence,Wilhelm Kotarbinski,Art Nouveau,portrait,"oil, canvas",https://www.wikiart.org/en/wilhelm-kotarbinski/afternoon-silence,https://uploads8.wikiart.org/images/wilhelm-kotarbinski/afternoon-silence.jpg,76,,,,
Gulliver Mezi Skřítky,Maximilian Pirner,Art Nouveau,illustration,"oil, canvas",https://www.wikiart.org/en/maximilian-pirner/gulliver-mezi-skritky-1910,https://uploads3.wikiart.org/00214/images/maximilian-pirner/maxmilian-pirner-gulliver-mezi-sk-tky-1910-1.jpg!Large.jpg,77,,,,
At the foot of the Petit Saleve,Ferdinand Hodler,Art Nouveau,landscape,"oil, canvas",https://www.wikiart.org/en/ferdinand-hodler/at-the-foot-of-the-petit-saleve-1893,https://uploads8.wikiart.org/images/ferdinand-hodler/at-the-foot-of-the-petit-saleve-1893.jpg,78,,,,
Ulf and Pontus,Carl Larsson,Art Nouveau,portrait,watercolor,https://www.wikiart.org/en/carl-larsson/ulf-and-pontus-1894,https://uploads3.wikiart.org/images/carl-larsson/ulf-and-pontus-1894(1).jpg!HD.jpg,79,,,,
"Angel, I will follow you",Jacek Malczewski,Art Nouveau,Religious painting,"oil, panel",https://www.wikiart.org/en/jacek-malczewski/angel-i-will-follow-you-1901,https://uploads8.wikiart.org/images/jacek-malczewski/angel-i-will-follow-you-1901.jpg,80,,,,
"Don Juan, and death. Sheet of from the album ""Theater Set""",Aleksandra Ekster,Constructivism,design,"oil, canvas",https://www.wikiart.org/en/aleksandra-ekster/don-juan-and-death-sheet-of-from-the-album-theater-set-1930,https://uploads8.wikiart.org/images/aleksandra-ekster/don-juan-and-death-sheet-of-from-the-album-theater-set-1930.jpg,81,,,,
Blue Figure,Janos Mattis-Teutsch,Constructivism,figurative,"oil, canvas",https://www.wikiart.org/en/janos-mattis-teutsch/blue-figure-1927,https://uploads8.wikiart.org/images/janos-mattis-teutsch/blue-figure-1927.jpg,82,,,,
Monument to the Third International,Vladimir Tatlin,Constructivism,design,lithography,https://www.wikiart.org/en/vladimir-tatlin/monument-to-the-third-international-1920,https://uploads8.wikiart.org/images/vladimir-tatlin/monument-to-the-third-international-1920.jpg,83,,,,
Draft for the tearoom on the ground floor of the Cafe Aubette,Sophie Taeuber-Arp,Constructivism,sketch and study,,https://www.wikiart.org/en/sophie-taeuber-arp/draft-for-the-tearoom-on-the-ground-floor-of-the-cafe-aubette-1926,https://uploads8.wikiart.org/images/sophie-taeuber-arp/draft-for-the-tearoom-on-the-ground-floor-of-the-cafe-aubette-1926.jpg,84,,,,
Pictorial Architecture,Lajos Kassak,Constructivism,abstract,"oil, canvas",https://www.wikiart.org/en/lajos-kassak/pictorial-architecture-1923,https://uploads8.wikiart.org/images/lajos-kassak/pictorial-architecture-1923.jpg,85,,,,
Production Clothing for Actor no.5' in Fernand Crommelynck's play 'The magnanimous Cuckold',Lyubov Popova,Constructivism,design,collage,https://www.wikiart.org/en/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold,https://uploads8.wikiart.org/images/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold.jpg,86,,,,
Room (Space Construction),Peter Laszlo Peri,Constructivism,abstract,"oil, canvas",https://www.wikiart.org/en/peter-laszlo-peri/room-space-construction-1921,https://uploads8.wikiart.org/images/peter-laszlo-peri/room-space-construction-1921.jpg,87,,,,
Model for 'Column',Naum Gabo,Constructivism,installation,"plastic, wood, metal",https://www.wikiart.org/en/naum-gabo/model-for-column-1921,https://uploads8.wikiart.org/images/naum-gabo/model-for-column-1921.jpg,88,,,,
Dreiformvariation,Carl Buchheister,Constructivism,abstract,"oil, paper",https://www.wikiart.org/en/carl-buchheister/dreiformvariation-1928,https://uploads8.wikiart.org/images/carl-buchheister/dreiformvariation-1928.jpg,89,,,,
Composition,Erich Buchholz,Constructivism,abstract,"oil, canvas",https://www.wikiart.org/en/erich-buchholz/composition-1920-1,https://uploads8.wikiart.org/images/erich-buchholz/composition-1920-1.jpg,90,,,,
Number 6,John McLaughlin,Minimalism,abstract,"oil, canvas",https://www.wikiart.org/en/john-mclaughlin/number-6-1963,https://uploads8.wikiart.org/images/john-mclaughlin/number-6-1963.jpg,91,,,,
Spazio Luce,Antonio Calderara,Minimalism,abstract,"oil, canvas",https://www.wikiart.org/en/antonio-calderara/spazio-luce-1961,https://uploads8.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg,92,,,,
Untitled,Myron Stout,Minimalism,abstract,"pencil, paper",https://www.wikiart.org/en/myron-stout/untitled-1979,https://uploads7.wikiart.org/images/myron-stout/untitled-1979(1).jpg,93,,,,https://uploads8.wikiart.org/images/lajos-kassak/pictorial-architecture-1923.jpg
Desert Rain,Agnes Martin,Minimalism,abstract,"oil, canvas",https://www.wikiart.org/en/agnes-martin/desert-rain-1957,https://uploads8.wikiart.org/images/agnes-martin/desert-rain-1957.jpg,94,,,,https://uploads8.wikiart.org/images/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold.jpg
Untitled,Gego,Minimalism,abstract,"oil, canvas",https://www.wikiart.org/en/gego/untitled-1966,https://uploads8.wikiart.org/images/gego/untitled-1966.jpg,95,,,,https://uploads8.wikiart.org/images/peter-laszlo-peri/room-space-construction-1921.jpg
Die,Tony Smith,Minimalism,sculpture,sculpture,https://www.wikiart.org/en/tony-smith/die-1968,https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg,96,,,,https://uploads8.wikiart.org/images/naum-gabo/model-for-column-1921.jpg
R60-27,Johnanes Jan Schoonhoven,Minimalism,abstract,"oil, canvas",https://www.wikiart.org/en/johannes-jan-schoonhoven/r60-27-1960,https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg,97,,,,https://uploads8.wikiart.org/images/carl-buchheister/dreiformvariation-1928.jpg
Untitled,Mathias Goeritz,Minimalism,sculpture,sculpture,https://www.wikiart.org/en/mathias-goeritz/untitled-1983,https://uploads8.wikiart.org/images/mathias-goeritz/untitled-1983.jpg,98,,,,https://uploads8.wikiart.org/images/erich-buchholz/composition-1920-1.jpg
Untitled (from Splints),Mira Schendel,Minimalism,abstract,wood,https://www.wikiart.org/en/mira-schendel/untitled-from-splints-1987,https://uploads4.wikiart.org/images/mira-schendel/untitled-from-splints-1987(1).jpg!PinterestSmall.jpg,99,,,,https://uploads8.wikiart.org/images/john-mclaughlin/number-6-1963.jpg
Primrose,Anne Truitt,Minimalism,sculpture,sculpture,https://www.wikiart.org/en/anne-truitt/primrose-1962,https://uploads8.wikiart.org/images/anne-truitt/primrose-1962.jpg,100,,,,https://uploads8.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg
Ridiculous Portrait (Statue of Liberty),May Wilson,Pop Art,cityscape,collage,https://www.wikiart.org/en/may-wilson/ridiculous-portrait-statue-of-liberty-1972,https://uploads8.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg,101,,,,https://uploads8.wikiart.org/images/myron-stout/untitled-1979.jpg
Enriched Bread,Corita Kent,Pop Art,figurative,"Screenprint, canvas",https://www.wikiart.org/en/corita-kent/enriched-bread-1965,https://uploads0.wikiart.org/00333/images/corita-kent/enriched-bread-1965.jpg,102,,,,https://uploads8.wikiart.org/images/agnes-martin/desert-rain-1957.jpg
"Pies, Pies, Pies",Wayne Thiebaud,Pop Art,still life,"oil, canvas",https://www.wikiart.org/en/wayne-thiebaud/pies-pies-pies-1961,https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg,103,,,,https://uploads8.wikiart.org/images/gego/untitled-1966.jpg
Self-Portrait,Richard Hamilton,Pop Art,self-portrait,screenprint,https://www.wikiart.org/en/richard-hamilton/self-portrait-1967,https://uploads8.wikiart.org/images/richard-hamilton/self-portrait-1967.jpg,104,,,,https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg
In the car,Roy Lichtenstein,Pop Art,genre painting,"magna, canvas",https://www.wikiart.org/en/roy-lichtenstein/in-the-car-1963,https://uploads5.wikiart.org/images/roy-lichtenstein/in-the-car-1963(1).jpg,105,,,,https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg
Exclamation Point (Chartreuse),Richard Artschwager,Pop Art,installation,fabric,https://www.wikiart.org/en/richard-artschwager/exclamation-point-chartreuse-2008,https://uploads6.wikiart.org/images/richard-artschwager/exclamation-point-chartreuse-2008.jpg!Large.jpg,106,,,,https://uploads8.wikiart.org/images/mathias-goeritz/untitled-1983.jpg
